############################################################
#
# Nuclide : Pb204
#
#
# 1D-data stored in GroupDataSet
#
#E_up     total     (n,2n)    capture   mu        elastic   inelastic 
2.865e+06 7.226e+00 0.000e+00 3.204e-03 4.762e-01 5.667e+00 1.556e+00 
2.231e+06 6.104e+00 0.000e+00 2.361e-03 3.624e-01 4.883e+00 1.219e+00 
1.738e+06 5.361e+00 0.000e+00 2.079e-03 2.894e-01 4.408e+00 9.511e-01 
1.353e+06 5.245e+00 0.000e+00 1.758e-03 2.459e-01 4.528e+00 7.154e-01 
1.054e+06 5.031e+00 0.000e+00 1.768e-03 2.094e-01 4.580e+00 4.498e-01 
8.208e+05 5.535e+00 0.000e+00 2.246e-03 1.817e-01 5.282e+00 2.503e-01 
6.393e+05 6.267e+00 0.000e+00 2.911e-03 1.582e-01 6.221e+00 4.298e-02 
4.979e+05 5.015e+00 0.000e+00 2.868e-03 1.395e-01 5.012e+00 1.942e-06 
3.877e+05 7.435e+00 0.000e+00 4.506e-03 1.217e-01 7.431e+00 7.048e-07 
3.020e+05 8.291e+00 0.000e+00 4.197e-03 1.043e-01 8.286e+00 2.439e-07 
2.352e+05 7.973e+00 0.000e+00 2.217e-03 8.807e-02 7.970e+00 7.693e-08 
1.832e+05 9.012e+00 0.000e+00 8.566e-03 7.215e-02 9.003e+00 1.213e-08 
1.426e+05 1.101e+01 0.000e+00 5.130e-03 5.871e-02 1.100e+01 0.000e+00 
1.111e+05 1.059e+01 0.000e+00 3.224e-03 4.817e-02 1.058e+01 0.000e+00 
8.652e+04 1.076e+01 0.000e+00 2.020e-03 3.865e-02 1.076e+01 0.000e+00 
6.738e+04 1.148e+01 0.000e+00 2.633e-04 3.097e-02 1.148e+01 0.000e+00 
5.248e+04 1.958e+01 0.000e+00 1.921e-02 2.433e-02 1.956e+01 0.000e+00 
4.087e+04 7.341e+00 0.000e+00 1.784e-02 1.990e-02 7.323e+00 0.000e+00 
3.183e+04 9.740e+00 0.000e+00 9.112e-03 1.617e-02 9.730e+00 0.000e+00 
2.479e+04 1.005e+01 0.000e+00 4.985e-04 1.317e-02 1.005e+01 0.000e+00 
